t, Pond Storage (m3),t, Pond Outflow (m3/day),t, Pond Inflow (m3/day),t, Rain (mm/day)
40182.37000,0,40182.37000,0,40182.37000,0,40182.37000,0
40182.38000,0,40182.38000,0,40182.38000,0,40182.38000,0
40182.39000,0,40182.39000,0,40182.39000,0,40182.39000,0
40182.40000,0,40182.40000,0,40182.40000,0,40182.40000,0
40182.41000,0,40182.41000,0,40182.41000,0,40182.41000,0
40182.42000,0,40182.42000,0,40182.42000,0,40182.42000,0
40182.43000,0,40182.43000,0,40182.43000,0,40182.43000,0
40182.44000,0,40182.44000,0,40182.44000,0,40182.44000,0
40182.45000,0,40182.45000,0,40182.45000,0,40182.45000,0
40182.46000,0,40182.46000,0,40182.46000,0,40182.46000,0
40182.47000,0,40182.47000,0,40182.47000,0,40182.47000,0
40182.48000,0,40182.48000,0,40182.48000,0,40182.48000,0
40182.49000,0,40182.49000,0,40182.49000,0,40182.49000,0
40182.50000,0,40182.50000,0,40182.50000,0,40182.50000,0
40182.51000,0,40182.51000,0,40182.51000,0,40182.51000,0
40182.52000,0,40182.52000,0,40182.52000,0,40182.52000,0
40182.53000,0,40182.53000,0,40182.53000,0,40182.53000,0
40182.54000,0,40182.54000,0,40182.54000,0,40182.54000,0
40182.55000,0,40182.55000,0,40182.55000,0,40182.55000,0
40182.56000,0,40182.56000,0,40182.56000,0,40182.56000,0
40182.57000,0,40182.57000,0,40182.57000,0,40182.57000,0
40182.58000,0,40182.58000,0,40182.58000,0,40182.58000,0
40182.59000,0,40182.59000,0,40182.59000,0,40182.59000,0
40182.60000,0,40182.60000,0,40182.60000,0,40182.60000,0
40182.61000,0,40182.61000,0,40182.61000,0,40182.61000,0
40182.62000,0,40182.62000,0,40182.62000,0,40182.62000,0
40182.63000,0,40182.63000,0,40182.63000,0,40182.63000,0
40182.64000,0,40182.64000,0,40182.64000,0,40182.64000,0
40182.65000,0,40182.65000,0,40182.65000,0,40182.65000,0
40182.66000,0,40182.66000,0,40182.66000,0,40182.66000,0
40182.67000,0,40182.67000,0,40182.67000,0,40182.67000,0
40182.68000,0,40182.68000,0,40182.68000,0,40182.68000,0
40182.69000,0,40182.69000,0,40182.69000,0,40182.69000,0
40182.70000,0,40182.70000,0,40182.70000,0,40182.70000,0
40182.71000,0,40182.71000,0,40182.71000,0,40182.71000,0
40182.72000,0,40182.72000,0,40182.72000,0,40182.72000,0
40182.73000,0,40182.73000,0,40182.73000,0,40182.73000,0
40182.74000,0,40182.74000,0,40182.74000,0,40182.74000,0
40182.75000,0,40182.75000,0,40182.75000,0,40182.75000,0
40182.76000,0,40182.76000,0,40182.76000,0,40182.76000,0
40182.77000,0,40182.77000,0,40182.77000,0,40182.77000,0
40182.78000,0,40182.78000,0,40182.78000,0,40182.78000,0
40182.79000,0,40182.79000,0,40182.79000,0,40182.79000,0
40182.80000,0,40182.80000,0,40182.80000,0,40182.80000,0
40182.81000,0,40182.81000,0,40182.81000,0,40182.81000,0
40182.82000,0,40182.82000,0,40182.82000,0,40182.82000,0
40182.83000,0,40182.83000,0,40182.83000,0,40182.83000,0
40182.84000,0,40182.84000,0,40182.84000,0,40182.84000,0
40182.85000,0,40182.85000,0,40182.85000,0,40182.85000,0
40182.86000,0,40182.86000,0,40182.86000,0,40182.86000,0
40182.87000,0,40182.87000,0,40182.87000,0,40182.87000,0
40182.88000,0,40182.88000,0,40182.88000,0,40182.88000,0
40182.89000,0,40182.89000,0,40182.89000,0,40182.89000,0
40182.90000,0,40182.90000,0,40182.90000,0,40182.90000,0
